date,PM10,PM25,SO2,NO2,O3
2020-01-01,20.48,15.73,19.71,36.37,64.26
2020-01-02,77.82,68.6,15.17,62.94,34.55
2020-01-03,60.62,54.66,14.33,54.66,40.25
2020-01-04,9.73,6.76,4.26,14.91,67.12
2020-01-05,13.55,10.24,5.34,49.86,71.36
2020-01-06,19.06,16.19,6.04,37.43,48.87
2020-01-07,26.28,22.9,8.81,54.44,49.26
2020-01-08,22.16,18.39,7.48,52.85,29.07
2020-01-09,19.91,16.6,6.9,40.82,29.48
2020-01-10,25.94,20.38,5.07,38.37,37.07
2020-01-11,7.46,6.05,4.31,21.4,51.64
2020-01-12,21.41,17.44,9.78,37.93,48.22
2020-01-13,27.07,22.02,8.46,53.22,44.59
2020-01-14,32.21,26.45,6.93,43.31,28.26
2020-01-15,31.25,23.43,8.18,43.36,32.87
2020-01-16,41.74,32.05,9.58,76.89,38.07
2020-01-17,94.68,87.35,30.48,60.37,39.1
2020-01-18,30.93,26.92,7.21,41.29,41.52
2020-01-19,29.42,26.0,5.91,36.55,39.46
2020-01-20,29.4,21.93,6.08,64.44,45.34
2020-01-21,35.12,28.6,7.38,56.72,37.84
2020-01-22,24.22,21.06,6.78,36.22,32.72
2020-01-23,26.48,22.36,7.32,54.17,42.43
2020-01-24,61.06,53.75,11.58,64.41,37.87
2020-01-25,50.99,47.13,7.88,43.28,32.35
2020-01-26,91.72,86.09,15.8,45.29,37.18
2020-01-27,60.55,51.21,13.99,55.19,28.26
2020-01-28,25.36,19.54,6.33,43.53,52.02
2020-01-29,9.02,5.26,3.8,32.42,64.37
2020-01-30,10.73,7.72,4.59,46.42,62.3
2020-01-31,9.86,6.91,4.48,38.58,68.0
2020-02-01,8.92,5.8,4.78,29.55,57.03
2020-02-02,7.74,5.87,3.06,35.07,78.78
2020-02-03,6.59,5.04,8.5,49.76,59.12
2020-02-04,8.22,6.44,2.28,65.58,66.55
2020-02-05,10.93,7.56,5.2,51.32,69.04
2020-02-06,20.62,13.95,4.44,27.07,54.52
2020-02-07,17.72,14.94,5.31,38.71,55.95
2020-02-08,47.72,42.29,12.17,43.47,54.62
2020-02-09,32.17,27.44,7.75,38.99,73.7
2020-02-10,9.43,5.98,2.35,28.3,85.53
2020-02-11,7.97,3.99,5.26,17.61,79.87
2020-02-12,9.92,4.66,1.87,65.79,78.89
2020-02-13,16.6,11.11,6.64,42.41,69.53
2020-02-14,17.13,13.31,4.48,35.52,56.61
2020-02-15,26.68,23.34,5.91,44.27,58.73
2020-02-16,14.38,11.16,5.59,22.09,75.17
2020-02-17,15.51,8.78,12.28,54.28,80.28
2020-02-18,11.83,5.51,3.6,32.09,74.06
2020-02-19,11.11,7.02,4.24,35.93,61.58
2020-02-20,12.41,12.85,4.305,65.75,64.88
2020-02-21,13.71,8.57,4.37,34.78,73.77
2020-02-22,14.25,9.4,4.92,27.79,69.36
2020-02-23,5.66,4.33,3.86,29.37,82.0
2020-02-24,11.87,7.01,5.88,55.33,83.41
2020-02-25,9.76,6.31,3.92,38.35,58.26
2020-02-26,9.12,5.86,3.33,33.81,71.94
2020-02-27,14.04,11.69,9.05,70.84,67.35
2020-02-28,19.35,16.76,5.38,38.78,65.44
2020-02-29,16.67,11.28,13.13,29.72,70.86
2020-03-01,13.8,9.07,11.6,40.5,79.42
2020-03-02,26.04,19.31,8.31,68.52,59.98
2020-03-03,27.07,22.37,11.15,52.05,49.54
2020-03-04,20.24,13.96,7.09,72.04,75.26
2020-03-05,27.74,21.41,17.68,51.39,72.19
2020-03-06,20.01,15.09,17.53,68.8,71.09
2020-03-07,11.83,10.68,3.85,16.65,64.78
2020-03-08,21.76,18.67,7.17,47.32,89.51
2020-03-09,27.88,22.24,12.44,42.16,74.06
2020-03-10,19.12,12.93,6.93,46.57,69.76
2020-03-11,9.49,5.32,4.87,44.53,80.07
2020-03-12,11.57,6.27,4.69,24.48,73.69
2020-03-13,11.24,5.57,5.39,33.73,80.91
2020-03-14,12.35,9.42,6.82,61.83,86.48
2020-03-15,30.02,26.45,12.95,37.2,86.9
2020-03-16,23.69,12.67,10.17,57.68,77.65
2020-03-17,50.21,36.61,13.32,88.19,83.32
2020-03-18,40.38,29.62,9.5,46.19,92.33
2020-03-19,48.88,36.11,8.6,67.62,68.96
2020-03-20,39.53,32.99,7.23,32.84,47.72
2020-03-21,11.77,8.37,4.13,20.75,72.8
2020-03-22,13.92,10.53,6.29,51.39,76.13
2020-03-23,18.3,14.31,8.03,35.57,78.18
2020-03-24,30.88,23.52,9.55,43.49,89.85
2020-03-25,34.96,23.9,9.25,37.24,100.83
2020-03-26,40.49,29.65,15.78,64.35,91.27
2020-03-27,64.54,44.55,54.84,56.42,95.04
2020-03-28,57.24,42.76,18.77,48.55,118.28
2020-03-29,37.63,31.06,5.82,12.83,92.58
2020-03-30,8.71,4.97,6.81,23.13,78.57
2020-03-31,14.65,10.81,4.75,45.84,70.85
2020-04-01,28.2,20.79,8.71,53.36,88.24
2020-04-02,39.04,28.27,8.99,88.58,104.64
2020-04-03,31.05,19.75,8.02,25.89,97.54
2020-04-04,31.21,23.33,10.69,53.36,102.51
2020-04-05,39.92,33.11,10.81,46.05,112.98
2020-04-06,35.11,22.45,19.21,40.12,122.91
2020-04-07,42.56,20.71,7.72,98.18,131.18
2020-04-08,30.98,15.92,22.98,66.86,123.13
2020-04-09,39.55,21.53,9.1,60.34,133.56
2020-04-10,15.71,7.98,6.34,71.86,98.28
2020-04-11,31.04,20.71,9.13,65.01,110.08
2020-04-12,22.98,16.02,17.11,21.86,117.47
2020-04-13,14.3,8.26,7.43,15.86,105.06
2020-04-14,9.64,4.86,5.31,21.29,90.92
2020-04-15,20.96,9.61,11.95,20.85,102.24
2020-04-16,27.42,13.03,9.34,56.38,120.01
2020-04-17,25.22,14.58,7.14,56.52,108.24
2020-04-18,24.72,13.26,14.32,62.8,124.06
2020-04-19,17.53,9.3,8.94,33.38,103.78
2020-04-20,16.11,8.48,6.98,24.44,105.77
2020-04-21,25.07,11.25,7.27,29.49,110.5
2020-04-22,31.19,17.43,12.86,55.06,117.33
2020-04-23,36.84,17.46,20.56,72.84,124.45
2020-04-24,40.68,19.04,7.85,66.8,141.39
2020-04-25,18.34,10.48,6.81,17.83,131.75
2020-04-26,12.89,8.56,6.55,25.75,107.24
2020-04-27,20.36,10.91,10.17,32.34,119.57
2020-04-28,18.2075,14.37,5.38,97.38,133.16
2020-04-29,16.055,26.13,0.42,97.98,97.79
2020-04-30,13.9025,22.14,4.51,55.78,98.03
2020-05-01,11.75,8.86,4.78,32.35,83.36
2020-05-02,9.28,6.45,4.05,24.18,88.3
2020-05-03,9.51,7.21,3.21,35.71,87.48
2020-05-04,17.44,12.38,4.73,100.61,90.5
2020-05-05,8.36,5.3,3.12,17.9,94.82
2020-05-06,8.56,5.01,2.99,27.91,90.98
2020-05-07,13.73,8.56,3.4,33.01,94.94
2020-05-08,26.77,17.82,5.19,85.26,120.86
2020-05-09,23.48,16.59,5.27,62.96,148.05
2020-05-10,18.85,13.86,7.66,34.68,116.35
2020-05-11,17.54,12.89,3.31,44.79,93.08
2020-05-12,6.48,3.45,3.17,25.02,78.95
2020-05-13,14.8,8.91,14.03,32.64,88.73
2020-05-14,17.79,14.43,3.5,36.72,100.02
2020-05-15,15.26,11.34,5.29,43.66,98.3
2020-05-16,13.06,7.3,5.99,43.55,105.98
2020-05-17,16.55,12.17,6.65,37.7,110.14
2020-05-18,13.27,6.72,4.34,81.71,109.92
2020-05-19,18.96,10.36,5.27,44.35,120.7
2020-05-20,11.89,7.42,3.12,47.12,104.25
2020-05-21,12.88,6.95,4.09,44.0,101.52
2020-05-22,17.0,8.17,7.49,41.06,112.59
2020-05-23,14.86,10.76,11.3,30.48,98.62
2020-05-24,10.1,5.22,3.63,14.94,84.41
2020-05-25,6.95,4.38,3.52,18.79,77.27
2020-05-26,12.49,8.55,2.94,54.24,73.72
2020-05-27,17.09,12.23,3.95,84.75,104.29
2020-05-28,14.98,9.17,4.03,59.05,60.06
2020-05-29,10.22,4.23,3.14,27.31,91.23
2020-05-30,11.88,4.6,3.01,21.39,83.22
2020-05-31,13.61,5.82,3.89,26.13,84.39
2020-06-01,18.95,5.92,3.23,49.11,102.82
2020-06-02,10.41,4.64,2.99,35.64,74.04
2020-06-03,15.11,7.68,79.04,42.58,105.79
2020-06-04,18.2,9.14,6.05,28.27,126.0
2020-06-05,12.85,9.29,3.57,33.24,87.63
2020-06-06,7.59,3.66,4.0,25.1,70.78
2020-06-07,8.06,5.31,3.11,17.57,64.83
2020-06-08,9.14,5.13,2.66,43.67,74.06
2020-06-09,10.44,5.82,3.06,19.62,101.11
2020-06-10,16.24,11.07,3.38,35.18,93.69
2020-06-11,25.23,20.55,6.62,32.92,101.18
2020-06-12,20.49,13.57,4.56,36.46,119.44
2020-06-13,28.8,16.92,2.8,33.58,95.13
2020-06-14,16.29,9.14,2.84,22.78,97.68
2020-06-15,13.7,7.41,10.69,22.73,99.08
2020-06-16,12.37,6.03,5.9,70.62,100.2
2020-06-17,17.43,8.99,4.57,64.97,124.72
2020-06-18,19.96,13.42,2.91,28.07,112.04
2020-06-19,15.37,11.37,2.62,20.27,88.12
2020-06-20,8.81,5.6,2.4,52.51,71.42
2020-06-21,8.17,5.11,2.42,8.38,69.69
2020-06-22,17.88,8.06,2.64,26.61,89.76
2020-06-23,10.96,4.94,2.93,31.82,85.72
2020-06-24,11.64,7.59,2.6,25.26,46.39
2020-06-25,17.18,11.21,4.08,30.94,100.02
2020-06-26,18.31,11.15,3.95,24.03,97.87
2020-06-27,20.56,10.67,14.17,21.43,118.67
2020-06-28,15.19,8.02,3.14,42.81,109.36
2020-06-29,13.81,7.84,45.29,36.44,57.58
2020-06-30,16.22,6.0,6.13,25.17,100.77
2020-07-01,12.83,4.95,9.31,28.46,89.32
2020-07-02,10.53,5.35,4.01,26.19,78.32
2020-07-03,12.96,7.09,2.55,29.31,85.87
2020-07-04,15.2,8.2,12.02,108.33,103.8
2020-07-05,11.03,5.0,12.65,21.41,94.35
2020-07-06,14.98,4.84,3.06,24.03,85.56
2020-07-07,12.91,5.11,4.02,31.3,81.27
2020-07-08,12.28,5.96,4.78,23.17,68.03
2020-07-09,15.87,8.98,5.47,28.75,74.27
2020-07-10,18.0,6.95,6.17,33.88,101.13
2020-07-11,6.83,3.41,2.7,18.93,88.42
2020-07-12,9.15,5.83,2.98,37.15,69.97
2020-07-13,8.13,3.51,3.32,28.56,70.54
2020-07-14,11.49,4.84,19.38,29.23,93.03
2020-07-15,17.35,7.92,12.53,24.36,104.37
2020-07-16,9.52,5.66,3.15,29.21,86.58
2020-07-17,9.79,5.11,3.35,38.96,69.96
