date,temperature_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,precipitation_sum,snowfall_sum,shortwave_radiation_sum,cloudcover_mean,wind_u,wind_v
2020-01-01,2.2,87,1032.9,0.0,0.0,2.75,36,-13.675158010271407,4.180915377535135
2020-01-02,-1.4,67,1028.8,0.0,0.0,4.44,9,-2.770363160937916,-7.611510228365858
2020-01-03,0.4,79,1021.9,0.0,0.0,3.03,42,-10.182337649086284,-10.182337649086287
2020-01-04,4.0,86,1018.1,3.6,0.0,1.63,86,-24.954755332287572,3.5071621441936496
2020-01-05,0.1,83,1030.4,0.2,0.14,4.32,14,-15.26486573081567,9.538546756197684
2020-01-06,0.4,81,1030.4,0.4,0.28,1.17,81,-5.970137163813614,-6.867857180027226
2020-01-07,0.8,85,1025.8,0.0,0.0,4.13,48,-8.900965003841158,-3.596223296792758
2020-01-08,3.5,86,1026.6,1.2,0.0,1.21,84,-7.761915033762755,-8.620479975537773
2020-01-09,6.3,91,1020.9,4.4,0.0,1.35,100,-3.2965380220600258,-8.15921792018773
2020-01-10,7.3,80,1016.4,0.0,0.0,1.72,73,-10.874548399772767,-8.496128359494081
2020-01-11,5.2,84,1028.1,0.3,0.0,0.69,97,-17.41102729306174,3.7008280965561178
2020-01-12,2.7,79,1025.3,0.0,0.0,4.4,84,-6.077449283938639,-10.114574148284927
2020-01-13,3.6,79,1022.6,0.0,0.0,2.12,70,-9.512253766110648,-8.564871761393384
2020-01-14,2.6,80,1018.5,0.0,0.0,3.87,60,4.382897142966173,-10.84805109843141
2020-01-15,5.4,55,1019.9,0.0,0.0,4.07,59,1.592040838891559e-15,-13.0
2020-01-16,4.6,80,1028.5,0.0,0.0,4.82,31,-6.728454054896368,-6.274384912574987
2020-01-17,1.8,89,1025.5,0.1,0.0,4.99,27,7.823595300976626,-10.382261630614808
2020-01-18,3.0,87,1023.4,1.5,0.0,0.8,99,-9.334970206477497,-4.352968095929202
2020-01-19,2.3,92,1031.8,0.4,0.0,1.94,98,-7.1497428454041305,5.789747597658504
2020-01-20,1.8,87,1044.9,0.0,0.0,2.51,74,-7.6504380477042835,2.3389736377818937
2020-01-21,0.6,77,1041.0,0.0,0.0,5.48,16,-10.912944725594633,-2.5194518086512905
2020-01-22,1.1,77,1031.4,0.0,0.0,1.13,63,-19.405914525519933,4.838437911993348
2020-01-23,1.8,87,1033.5,0.0,0.0,3.93,60,-10.635923732531847,-1.8754003188028476
2020-01-24,-1.5,80,1024.8,0.0,0.0,5.35,18,-5.933385732543735,-6.362777204086783
2020-01-25,-1.4,83,1022.7,0.0,0.0,4.77,33,-8.56727440358901,-0.7495393876298609
2020-01-26,-2.3,85,1021.0,0.0,0.0,4.42,87,0.8161464350345723,-4.628596439157378
2020-01-27,1.4,85,1014.9,0.0,0.0,5.01,76,-1.5646337620876665,-8.049342904270844
2020-01-28,3.3,82,1000.5,3.7,0.0,3.01,93,-4.906344933542583,-17.110458187702076
2020-01-29,3.2,68,1002.2,0.5,0.14,4.13,81,-22.020763464146317,-5.083893828171355
2020-01-30,4.1,79,1009.9,2.9,0.0,1.56,97,-18.64236844737902,-4.995207570478648
2020-01-31,8.6,77,1004.0,2.4,0.0,2.98,98,-22.46916453197791,-1.177559015466247
2020-02-01,11.1,78,1005.3,4.7,0.0,5.16,95,-14.25944624794672,-9.618117939696841
2020-02-02,8.0,76,1006.3,5.1,0.0,3.21,82,-21.41818600897253,-1.8738484690746524
2020-02-03,6.6,87,1007.3,5.8,0.0,3.44,91,-16.178502271753548,1.9864702975039072
2020-02-04,4.8,88,1003.4,9.1,0.0,2.67,75,-14.508157519713228,9.785875810738073
2020-02-05,2.0,76,1022.1,1.0,0.0,5.11,65,-7.633237325314907,19.88526308439039
