Data*Wrocław - Al. Wiśniowa (tlenek węgla [jednostka ug/m3])*Wrocław - Al. Wiśniowa (dwutlenek azotu [jednostka ug/m3])*Wrocław - Al. Wiśniowa (pył zawieszony PM2.5 [jednostka ug/m3])*Wrocław - ul. Bartnicza (dwutlenek azotu [jednostka ug/m3])*Wrocław - ul. Bartnicza (ozon [jednostka ug/m3])*Wrocław - ul. Orzechowa (pył zawieszony PM10 [jednostka ug/m3])*Wrocław - wyb. Conrada-Korzeniowskiego (dwutlenek siarki [jednostka ug/m3])*Wrocław - wyb. Conrada-Korzeniowskiego (tlenek węgla [jednostka ug/m3])*Wrocław - wyb. Conrada-Korzeniowskiego (dwutlenek azotu [jednostka ug/m3])*Wrocław - wyb. Conrada-Korzeniowskiego (ozon [jednostka ug/m3])*Wrocław - wyb. Conrada-Korzeniowskiego (pył zawieszony PM2.5 [jednostka ug/m3])*Wrocław - wyb. Conrada-Korzeniowskiego (pył zawieszony PM10 [jednostka ug/m3])*Wrocław - wyb. Conrada-Korzeniowskiego (pył zawieszony PM10 [jednostka ug/m3])
2020-08-01 01:00,0.26,17.59,10.44,7.25,47.16,  ,0.27, ,45.05,7.14,18.48, ,
2020-08-01 02:00,0.28,16.59,11.94,8.18,41.29, ,3.23,0.26, ,46.91,7.61,17.96, ,
2020-08-01 03:00,0.26,16.81,9.40,17.55,25.17, ,2.95,0.24,9.08,44.35,7.69,16.35, ,
2020-08-01 04:00,0.28,26.21,10.37,14.77,13.90, ,2.80,0.23,9.91,40.19,7.53,13.81, ,
2020-08-01 05:00,0.34,38.16,10.13,12.27,13.02, ,3.11,0.27,34.22,10.32,7.96,16.57, ,
2020-08-01 06:00,0.44,41.43,12.17,16.23,15.50, ,3.07,0.26,27.31,21.42,7.76,15.67, ,
2020-08-01 07:00,0.38,34.27,13.69,7.97,38.08, ,3.65,0.23,12.94,39.63,6.77,12.70, ,
2020-08-01 08:00,0.34,27.72,8.03,3.51,50.97, ,3.27,0.22,7.39,49.37,6.08,12.24, ,
2020-08-01 09:00,0.36,29.85,7.35,2.25,59.45, ,3.13,0.26,5.59,56.89,5.75,11.86, ,
2020-08-01 10:00,0.39,27.73,8.88,2.06,66.40, ,2.84,0.27,5.24,63.88,5.11,10.00, ,
2020-08-01 11:00,0.36,27.12,5.76,1.94,74.38, ,2.60,0.24,3.97,72.94,4.22,9.01, ,
2020-08-01 12:00,0.38,28.55,9.48,1.72,79.69, ,2.80,0.24,4.28,76.68,3.64,8.76, ,
2020-08-01 13:00,0.37,32.02,4.39,2.09,81.71, ,2.57,0.26,3.44,80.28,3.41,9.87, ,
