date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,windspeed_10m_max,windspeed_10m_mean,windgusts_10m_max,winddirection_10m_dominant,pressure_msl_mean,precipitation_sum,rain_sum,snowfall_sum,shortwave_radiation_sum,sunshine_duration,cloudcover_mean,et0_fao_evapotranspiration,blh_mean,blh_min,blh_max,dewpoint_2m_mean,dewpoint_2m_min,dewpoint_2m_max,cloudcover_low_mean,windspeed_10m_min,surface_pressure_mean
2020-01-01,4.3,-1.8,2.2,93,76,87,18.9,14.3,37.1,287,1032.9,0.0,0.0,0.0,2.75,27075.9,36,0.35,,,,0.18,-2.8,1.7,33.08,6.9,1018.65
2020-01-02,5.8,-4.6,-1.4,92,39,67,14.6,8.1,20.9,200,1028.8,0.0,0.0,0.0,4.44,28008.64,9,0.58,,,,-7.11,-9.2,-3.8,0.17,2.9,1014.42
2020-01-03,4.7,-4.2,0.4,88,62,79,22.9,14.4,41.8,225,1021.9,0.0,0.0,0.0,3.03,22386.72,42,0.53,,,,-2.93,-7.6,1.0,35.75,8.4,1007.77
2020-01-04,6.2,2.0,4.0,93,79,86,32.9,25.2,69.1,278,1018.1,3.6,3.6,0.0,1.63,5043.94,86,0.48,,,,1.92,-0.4,4.4,76.75,16.9,1004.14
2020-01-05,3.0,-3.7,0.1,93,70,83,27.6,18.0,60.5,302,1030.4,0.2,0.0,0.14,4.32,28256.28,14,0.53,,,,-2.4,-4.6,-1.0,9.12,7.6,1016.08
2020-01-06,3.0,-3.3,0.4,93,71,81,13.0,9.1,22.7,221,1030.4,0.4,0.0,0.28,1.17,5844.46,81,0.3,,,,-2.57,-5.2,-0.5,67.5,5.5,1016.13
2020-01-07,4.2,-3.5,0.8,92,71,85,18.4,9.6,36.0,248,1025.8,0.0,0.0,0.0,4.13,25405.37,48,0.4,,,,-1.58,-4.9,1.5,43.58,4.7,1011.57
2020-01-08,5.2,0.7,3.5,93,76,86,15.1,11.6,27.0,222,1026.6,1.2,1.2,0.0,1.21,2734.11,84,0.31,,,,1.38,-0.6,3.5,56.67,9.7,1012.51
2020-01-09,8.1,4.9,6.3,95,86,91,11.5,8.8,20.2,202,1020.9,4.4,4.4,0.0,1.35,1410.41,100,0.24,,,,4.99,4.0,6.0,58.33,6.3,1007.04
2020-01-10,8.9,5.5,7.3,89,69,80,20.9,13.8,40.3,232,1016.4,0.0,0.0,0.0,1.72,6925.47,73,0.61,,,,3.97,2.8,5.7,39.5,8.9,1002.61
2020-01-11,7.8,2.7,5.2,90,78,84,24.8,17.8,47.5,282,1028.1,0.3,0.3,0.0,0.69,0.0,97,0.48,,,,2.7,1.3,5.0,92.62,6.6,1014.1
2020-01-12,6.7,-0.1,2.7,93,64,79,16.7,11.8,31.7,211,1025.3,0.0,0.0,0.0,4.4,28800.0,84,0.67,,,,-0.68,-1.9,1.0,4.33,7.0,1011.22
2020-01-13,6.2,-0.9,3.6,93,70,79,17.9,12.8,32.0,228,1022.6,0.0,0.0,0.0,2.12,7116.01,70,0.61,,,,0.25,-2.0,1.9,55.08,7.2,1008.59
